Tag,Gene_Name,Gene_Symbol,PDNDvControl_FC,PDNDvControl_pval,PDDvPDND_FC,PDDvPDND_pval,PDDvControl_FC,PDDvControl_pval,Avg_PDD,Avg_PDND,Avg_Control
201946_s_at,"chaperonin containing TCP1, subunit 2 (beta)",CCT2,1.089221708,0.62737458,0.490021245,0.002113515,0.533741778,0.001417737,55.23846154,112.7266667,103.4928571
218877_s_at,MDS024 protein,MDS024,0.960557088,0.760067864,0.491104652,0.000402633,0.471734055,5.84196E-05,196.6153846,400.3533333,416.7928571
203336_s_at,integrin cytoplasmic domain-associated protein 1,ICAP-1A,0.927381305,0.594281067,0.491623996,0.000263471,0.455922903,0.000250132,208.8615385,424.84,458.1071429
230748_at,"solute carrier family 16 (monocarboxylic acid transporters), member 6",SLC16A6,0.721930751,0.013522581,0.49188592,0.000219202,0.355107571,3.84138E-08,180.1384615,366.22,507.2785714
225633_at,hypothetical protein MGC35440,MGC35440,1.061846699,0.708665886,0.493610279,0.0027166,0.524138446,0.000546291,478.6769231,969.7466667,913.2642857
208498_s_at,"amylase, alpha 1A; salivary",AMY1A,1.057407442,0.710782252,0.494023813,0.001410403,0.522384456,0.000537823,607.4846154,1229.666667,1162.907143
206017_at,KIAA0319 gene product,KIAA0319,1.100711667,0.37606521,0.495678519,0.000128169,0.545599129,0.000259844,248.4307692,501.1933333,455.3357143
228408_s_at,hypothetical protein FLJ10498,FLJ10498,1.009344914,0.957163743,0.495737661,0.00052321,0.500370287,0.002966219,136.6153846,275.58,273.0285714
229553_at,hypothetical protein FLJ32029,FLJ32029,1.053627237,0.785311048,0.496476366,0.004718482,0.523101022,0.002335397,958.9076923,1931.426667,1833.121429
228986_at,oxysterol binding protein-like 8,OSBPL8,0.788901847,0.088305485,0.496697879,0.001657308,0.391845874,8.26831E-09,180,362.3933333,459.3642857
225456_at,PPAR binding protein,PPARBP,1.047203929,0.79418974,0.496699839,0.000269046,0.520146023,0.009689605,54.72307692,110.1733333,105.2071429
213518_at,"protein kinase C, iota",PRKCI,0.899044321,0.521563797,0.496789687,0.001228023,0.446635947,0.000247657,184.2692308,370.92,412.5714286
203215_s_at,myosin VI,MYO6,0.920752557,0.643450601,0.497773392,0.00115838,0.458326124,0.002135233,190.6538462,383.0133333,415.9785714
209330_s_at,"heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)",HNRPD,0.83240547,0.229259358,0.499271692,0.004609943,0.415596487,7.34337E-06,263.8384615,528.4466667,634.8428571
215548_s_at,chromosome 14 open reading frame 163,C14orf163,1.071853713,0.535629404,0.499772619,7.45317E-06,0.535683137,6.97204E-05,112.7153846,225.5333333,210.4142857
221452_s_at,transmembrane protein 14B,TMEM14B,0.709309501,0.061351638,0.499919232,0.004929607,0.354597461,8.39445E-05,158.7076923,317.4666667,447.5714286
218721_s_at,chromosome 1 open reading frame 27,C1orf27,1.258775711,0.11399887,0.500579557,0.00196703,0.630117388,0.006801486,73.08461538,146,115.9857143
202388_at,"regulator of G-protein signalling 2, 24kDa",RGS2,1.127527395,0.525906646,0.500615803,0.003648864,0.564458032,0.004882294,449.6230769,898.14,796.5571429
224580_at,"solute carrier family 38, member 1",SLC38A1,1.133182645,0.491758278,0.50145128,0.004173555,0.568235888,0.004516449,73.62307692,146.82,129.5642857
200760_s_at,cytoskeleton related vitamin A responsive protein,JWA,0.85131622,0.391843465,0.503520484,0.003517347,0.428655155,0.000712219,496.3,985.66,1157.807143
223193_x_at,growth and transformation-dependent protein,E2IG5,1.047053755,0.792148239,0.504881191,0.003267374,0.528637747,0.004946732,303.8307692,601.7866667,574.7428571
224788_at,ADP-ribosylation factor 6,ARF6,1.11491689,0.501277956,0.50746634,0.001358955,0.565782793,0.001444436,564.5461538,1112.48,997.8142857
208765_s_at,heterogeneous nuclear ribonucleoprotein R,HNRPR,0.801607042,0.201314568,0.507759266,8.27128E-05,0.407023403,0.000780875,121.3307692,238.9533333,298.0928571
208664_s_at,tetratricopeptide repeat domain 3,TTC3,0.74402673,0.056128385,0.508999095,0.003765941,0.378708932,6.78355E-06,113.6153846,223.2133333,300.0071429
200900_s_at,mannose-6-phosphate receptor (cation dependent),M6PR,0.872141905,0.521722688,0.510481289,0.005181591,0.445212124,0.003232945,72.36923077,141.7666667,162.55
201586_s_at,splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated),SFPQ,0.915764292,0.633265784,0.511036778,0.008286038,0.467989233,0.000324937,195.1615385,381.8933333,417.0214286
223139_s_at,DEAH (Asp-Glu-Ala-His) box polypeptide 36,DHX36,1.101072046,0.270166634,0.511124156,1.79433E-07,0.56278452,1.33385E-05,354.1,692.7866667,629.1928571
1567214_a_at,"pinin, desmosome associated protein",PNN,0.767229159,0.125975502,0.511368399,0.000994988,0.392336746,0.000250137,563.1461538,1101.253333,1435.364286
212794_s_at,KIAA1033 protein,KIAA1033,0.91015551,0.404808818,0.512016785,5.70582E-06,0.466014898,2.46754E-05,271.7,530.6466667,583.0285714
232524_x_at,anaphase-promoting complex subunit 4,ANAPC4,1.038770349,0.726571147,0.512035361,8.74739E-07,0.53188715,0.000109817,128.2,250.3733333,241.0285714
227029_at,chromosome 14 open reading frame 24,C14orf24,1.008460699,0.95975625,0.512969845,0.006254791,0.517309928,3.80477E-05,346.4461538,675.3733333,669.7071429
201133_s_at,"praja 2, RING-H2 motif containing",PJA2,1.175068382,0.260818556,0.513008729,0.000251882,0.602820337,0.007670696,1234.692308,2406.766667,2048.192857
202753_at,proteasome regulatory particle subunit p44S10,p44S10,1.099958716,0.569725279,0.514222648,0.002387231,0.565623683,0.003360383,384.9230769,748.5533333,680.5285714
218341_at,hypothetical protein FLJ20972,FLJ20972,0.933435669,0.586768111,0.514643046,0.002805486,0.480386176,0.000259799,93.88461538,182.4266667,195.4357143
202447_at,"2,4-dienoyl CoA reductase 1, mitochondrial",DECR1,1.310370859,0.140828719,0.515980339,0.003441829,0.6761256,0.003336631,175.7153846,340.5466667,259.8857143
212746_s_at,KARP-1-binding protein,KAB,1.089064565,0.645502419,0.517723149,0.008402504,0.563833936,0.005661229,167.6076923,323.74,297.2642857
203348_s_at,ets variant gene 5 (ets-related molecule),ETV5,0.748377322,0.104872572,0.519267694,0.001242,0.388608166,0.000371297,75.72307692,145.8266667,194.8571429
211939_x_at,basic transcription factor 3,BTF3,1.073721895,0.676144646,0.519416303,0.002632106,0.557708657,0.004255263,932.4769231,1795.24,1671.978571
200993_at,importin 7,IPO7,1.053726244,0.73965722,0.520593985,0.000337177,0.548563544,0.005542196,256.8923077,493.46,468.3
223309_x_at,intracellular membrane-associated calcium-independent phospholipase A2 gamma,IPLA2(GAMMA),1.072473228,0.639405522,0.521905916,0.000719206,0.559730122,0.000326262,274.4076923,525.78,490.25
208899_x_at,"ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D",ATP6V1D,0.986379446,0.940430856,0.522344256,0.00221047,0.515229637,0.008556307,535.7615385,1025.686667,1039.85
211383_s_at,KIAA0982 protein,KIAA0982,1.098115362,0.585930029,0.522593343,0.002583052,0.573867778,0.004979641,440.3615385,842.6466667,767.3571429
206061_s_at,"Dicer1, Dcr-1 homolog (Drosophila)",DICER1,1.245256526,0.043740153,0.523679417,2.10629E-05,0.652115212,1.82492E-05,207,395.28,317.4285714
201592_at,"eukaryotic translation initiation factor 3, subunit 3 gamma, 40kDa",EIF3S3,1.242385177,0.102440394,0.525214091,7.93863E-05,0.652518201,0.009718592,511.2153846,973.3466667,783.45
203415_at,programmed cell death 6,PDCD6,1.094271708,0.534880223,0.526078123,0.000101038,0.575672407,0.004536701,161.6076923,307.1933333,280.7285714
211936_at,"heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)",HSPA5,1.229548238,0.281095979,0.526784677,0.009587414,0.647707171,0.0066374,272,516.34,419.9428571
232063_x_at,phenylalanyl-tRNA synthetase beta-subunit,FRSB,1.182163102,0.217352237,0.527064157,0.000592925,0.623075799,0.001868434,182.6769231,346.5933333,293.1857143
221699_s_at,DEAD (Asp-Glu-Ala-Asp) box polypeptide 50,DDX50,0.905765364,0.477432383,0.527919383,0.00171366,0.478171092,9.05481E-05,185.1307692,350.68,387.1642857
200842_s_at,glutamyl-prolyl-tRNA synthetase,EPRS,1.09175601,0.50620561,0.530855972,0.001031775,0.579565198,4.96235E-05,1299.323077,2447.6,2241.892857
213220_at,hypothetical protein LOC92482,LOC92482,1.231777191,0.182215353,0.53124355,0.002232501,0.654373687,0.000605215,260.0153846,489.4466667,397.35
224298_s_at,phosphoglycerate dehydrogenase like 1,PHGDHL1,0.801661795,0.230307186,0.535120218,0.007218226,0.428985435,0.001456538,75.47692308,141.0466667,175.9428571
201831_s_at,vesicle docking protein p115,VDP,0.891869237,0.553321091,0.535125206,0.001830883,0.477261709,0.005253728,109.8076923,205.2,230.0785714
212417_at,secretory carrier membrane protein 1,SCAMP1,0.769264508,0.090526956,0.541382405,0.005084803,0.41646627,3.83232E-05,1469.492308,2714.333333,3528.478571
205809_s_at,Wiskott-Aldrich syndrome-like,WASL,0.802336353,0.279495022,0.542122058,0.008914222,0.434964235,0.005446969,287.7692308,530.82,661.5928571
217749_at,"coatomer protein complex, subunit gamma",COPG,1.153431094,0.427283364,0.54457845,0.00430455,0.628133717,0.009087537,78.93846154,144.9533333,125.6714286
225414_at,hypothetical protein LOC284996,LOC284996,0.895594742,0.484965018,0.545732379,0.003450238,0.488755049,0.000107098,160.1615385,293.48,327.6928571
203089_s_at,"protease, serine, 25",PRSS25,0.893190774,0.443181523,0.545764999,0.001491777,0.487472261,0.000488678,86.3,158.1266667,177.0357143
221815_at,abhydrolase domain containing 2,ABHD2,0.984801097,0.882326958,0.545902871,4.46449E-06,0.537605746,5.41585E-05,270.6076923,495.7066667,503.3571429
205795_at,neurexin 3,NRXN3,0.883756657,0.434501456,0.546033437,0.002587721,0.482560685,0.000619254,752.0846154,1377.36,1558.528571
202813_at,TAR (HIV) RNA binding protein 1,TARBP1,0.890813406,0.508752364,0.546364005,0.008325288,0.48670838,0.001232565,263.5769231,482.42,541.55
202760_s_at,paralemmin 2,PALM2,0.732597553,0.119802613,0.546808045,0.002576192,0.400590235,0.000968324,353.3692308,646.24,882.1214286
202537_s_at,DKFZP564O123 protein,DKFZP564O123,0.977499237,0.874995484,0.546886718,0.001277853,0.534581349,0.000430071,162.6769231,297.46,304.3071429
224345_x_at,growth and transformation-dependent protein,E2IG5,1.02961829,0.865478477,0.547243151,0.004746057,0.563451558,0.006158608,323.3769231,590.92,573.9214286
211503_s_at,"RAB14, member RAS oncogene family",RAB14,1.229784968,0.112268221,0.549335599,0.000838756,0.675564663,0.001468482,561.9153846,1022.9,831.7714286
201215_at,plastin 3 (T isoform),PLS3,1.110079452,0.497205649,0.549615484,0.003831583,0.610116855,0.00077687,384.5,699.58,630.2071429
208778_s_at,t-complex 1,TCP1,1.093935511,0.57445755,0.551274386,0.003271395,0.603058627,0.009737678,608.5076923,1103.82,1009.035714
218801_at,UDP-glucose ceramide glucosyltransferase-like 2,UGCGL2,0.868269191,0.280567138,0.551490576,0.003048055,0.478842276,0.000117014,195.0769231,353.7266667,407.3928571
1555841_at,similar to RIKEN cDNA 5730528L13 gene,MGC17337,0.939979302,0.559847659,0.553009467,0.002894615,0.519817453,0.003399284,110.0230769,198.9533333,211.6571429
1557246_at,likely homolog of rat kinase D-interacting substance of 220 kDa,KIDINS220,0.966304882,0.833563275,0.553066111,0.002403755,0.534430483,0.001465832,126.9692308,229.5733333,237.5785714
222391_at,chromosome 6 open reading frame 67,C6orf67,0.894279714,0.410236431,0.55451465,0.002701885,0.495891203,5.90002E-05,1050.269231,1894.033333,2117.942857
201951_at,activated leukocyte cell adhesion molecule,ALCAM,1.188776429,0.181208194,0.554851014,0.000181178,0.659593807,0.005716555,205.7461538,370.8133333,311.9285714
224280_s_at,hypothetical protein RP1-317E23,LOC56181,1.197429669,0.097530806,0.55496077,6.46531E-05,0.664526491,0.001729424,183.6846154,330.9866667,276.4142857
228031_at,chromosome 20 open reading frame 121,C20orf121,1.014106724,0.909453985,0.556578183,0.000407051,0.564429677,0.000585683,182.6615385,328.1866667,323.6214286
224687_at,hypothetical protein DKFZP434A0225,DKFZP434A0225,1.11353313,0.331581781,0.559658196,0.000463108,0.623197942,0.000558498,520.9,930.7466667,835.85
218123_at,chromosome 21 open reading frame 59,C21orf59,1.034795986,0.804852369,0.560900612,0.001397638,0.580417702,0.000363915,169.7846154,302.7,292.5214286
200953_s_at,cyclin D2,CCND2,0.938124543,0.717017567,0.561380857,0.006621196,0.52664516,0.001469476,250.6153846,446.4266667,475.8714286
228480_at,"VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa",VAPA,0.931528454,0.643853098,0.561926938,0.001492152,0.523450933,0.000437794,148.8769231,264.94,284.4142857
218482_at,DC6 protein,DC6,1.002011779,0.990028544,0.562619451,0.007980814,0.563751317,0.002430148,283.9615385,504.7133333,503.7
229115_at,"dynein, cytoplasmic, heavy polypeptide 1",DNCH1,0.907689994,0.593133912,0.563791953,0.005240939,0.511748315,0.007426591,348.4384615,618.0266667,680.8785714
202696_at,oxidative-stress responsive 1,OSR1,1.054526041,0.697202862,0.564292378,0.002377437,0.595061007,0.002733569,71.65384615,126.98,120.4142857
205849_s_at,ubiquinol-cytochrome c reductase binding protein,UQCRB,1.015115036,0.914447185,0.564310229,0.000302678,0.572839798,0.001559493,1097.184615,1944.293333,1915.342857
218519_at,"solute carrier family 35, member A5",SLC35A5,1.038002999,0.76313279,0.564870672,0.001028961,0.586337452,8.63694E-05,158.2692308,280.1866667,269.9285714
1554021_a_at,zinc finger protein 325,ZNF325,1.042030752,0.646166707,0.565451878,3.07248E-06,0.589218246,3.1613E-06,214.0461538,378.54,363.2714286
212290_at,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 1",SLC7A1,0.974689521,0.872961239,0.565628911,0.007710593,0.551312573,0.000148884,132.3307692,233.9533333,240.0285714
206401_s_at,microtubule-associated protein tau,MAPT,0.766988776,0.174385905,0.56799343,0.004164415,0.435644586,0.001108095,283.0538462,498.34,649.7357143
223299_at,similar to signal peptidase complex (18kD),LOC90701,1.142363439,0.427366761,0.569055151,0.005681217,0.650067799,0.00338057,213.3615385,374.94,328.2142857
200598_s_at,tumor rejection antigen (gp96) 1,TRA1,0.999750251,0.998943767,0.571400424,0.007453311,0.571257717,0.009088116,464,812.04,812.2428571
212006_at,UBX domain containing 2,UBXD2,0.923455422,0.556909151,0.572154156,0.001514101,0.528358858,8.44621E-05,340.5461538,595.2,644.5357143
1557081_at,S164 protein,S164,0.804061773,0.21251923,0.573381204,0.003372663,0.461033908,0.001284678,142.5846154,248.6733333,309.2714286
213353_at,"ATP-binding cassette, sub-family A (ABC1), member 5",ABCA5,0.910103636,0.410841236,0.57366554,0.001264222,0.522095094,1.81315E-06,182.2,317.6066667,348.9785714
210149_s_at,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d",ATP5H,1.016366593,0.925061241,0.574975457,0.007164418,0.584385846,0.006275611,232.7692308,404.8333333,398.3142857
204724_s_at,"collagen, type IX, alpha 3",COL9A3,0.928499631,0.650613106,0.576220664,0.00691661,0.535020674,0.005885319,91.5,158.7933333,171.0214286
217980_s_at,mitochondrial ribosomal protein L16,MRPL16,1.061290497,0.596764574,0.576923077,0.000399359,0.612282979,0.0005324,188.9461538,327.5066667,308.5928571
201002_s_at,ubiquitin-conjugating enzyme E2 variant 1,UBE2V1,1.077857994,0.620429235,0.577276997,0.003317773,0.622222626,0.007247732,263.4846154,456.4266667,423.4571429
210561_s_at,SOCS box-containing WD protein SWiP-1,WSB1,1.062768122,0.639716671,0.57856475,0.00544362,0.614880172,0.00389055,454.0846154,784.8466667,738.4928571
209024_s_at,NS1-associated protein 1,NSAP1,0.925556856,0.63683839,0.579419667,0.001784667,0.536285845,0.002796523,274.9307692,474.4933333,512.6571429
221768_at,splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated),SFPQ,0.932715097,0.569692978,0.579430559,0.000841991,0.54044363,0.000570818,407.9461538,704.0466667,754.8357143
225496_s_at,synaptotagmin-like 2,SYTL2,1.098315453,0.376882629,0.581773875,2.11319E-05,0.638971237,0.00216049,514.3307692,884.0733333,804.9357143
212634_at,KIAA0776 protein,KIAA0776,0.865167691,0.223541166,0.582007208,0.000575486,0.503533833,8.59034E-06,133.4076923,229.22,264.9428571
221736_at,KIAA1219 protein,KIAA1219,1.116152092,0.384887685,0.582155535,0.001099876,0.649774118,0.002613907,301.2538462,517.48,463.6285714
214882_s_at,"splicing factor, arginine/serine-rich 2",SFRS2,0.909624277,0.444587998,0.583146852,0.004234626,0.530444534,0.000541821,268.4769231,460.3933333,506.1357143
205427_at,zinc finger protein 354A,ZNF354A,0.825319324,0.101626641,0.584282047,0.004811054,0.482219264,8.68351E-05,66.87692308,114.46,138.6857143
228238_at,Homo sapiens full length insert cDNA clone ZC19D07,---,1.132146103,0.248520315,0.584388274,0.000495455,0.661612907,0.00323332,192.3923077,329.22,290.7928571
201970_s_at,nuclear autoantigenic sperm protein (histone-binding),NASP,0.954881891,0.779566917,0.585134148,0.00266502,0.558734001,0.006596165,224.2,383.16,401.2642857
233461_x_at,zinc finger protein 226,ZNF226,0.698419965,0.071577914,0.586099727,0.000414119,0.409343751,0.001129625,153.2846154,261.5333333,374.4642857
209579_s_at,methyl-CpG binding domain protein 4,MBD4,1.053737007,0.631660475,0.591485217,4.92215E-05,0.623269862,0.006645659,1196.669231,2023.16,1919.985714
201327_s_at,"chaperonin containing TCP1, subunit 6A (zeta 1)",CCT6A,0.936931857,0.676376192,0.591500269,0.001289331,0.554195445,0.003589736,424.0307692,716.8733333,765.1285714
222430_s_at,high-glucose-regulated protein 8,HGRG8,1.126673021,0.31616571,0.591734534,0.001190492,0.666691335,0.009835226,534.5769231,903.4066667,801.8357143
234140_s_at,stromal interaction molecule 2,STIM2,0.97184872,0.792937838,0.591817821,0.00021873,0.575157392,0.000585502,89.4,151.06,155.4357143
238600_at,hypothetical protein FLJ31564,FLJ31564,0.889935937,0.468184774,0.592822425,0.006965362,0.52757398,0.001063041,504.5076923,851.0266667,956.2785714
226749_at,mitochondrial ribosomal protein S9,MRPS9,0.738500496,0.051025211,0.594198426,0.008748588,0.438815832,0.000128995,236.0076923,397.1866667,537.8285714
226350_at,"opsin 3 (encephalopsin, panopsin)",OPN3,0.676795975,0.012797274,0.594404252,0.007417582,0.402290405,1.77123E-05,309.5538462,520.78,769.4785714
217813_s_at,spindlin,SPIN,0.95479103,0.733658804,0.5950626,0.000998304,0.568160433,0.000633707,148.6307692,249.7733333,261.6
213189_at,---,---,0.92158886,0.584129703,0.595622041,0.006497901,0.548918637,0.002169631,93.47692308,156.94,170.2928571
225724_at,"Homo sapiens transcribed sequence with moderate similarity to protein pir:I60307 (E. coli) I60307 beta-galactosidase, alpha peptide - Escherichia coli",---,0.897775634,0.308966792,0.595868223,0.000594606,0.534955972,0.000553836,126.7769231,212.76,236.9857143
244674_at,Homo sapiens transcribed sequences,---,0.898764227,0.524765688,0.599552018,0.002701788,0.538855906,0.007198352,110.3615385,184.0733333,204.8071429
203608_at,"aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)",ALDH5A1,1.073727158,0.599655575,0.599601988,0.002912709,0.643808939,0.008145396,285.5384615,476.2133333,443.5142857
222768_s_at,CGI-09 protein,CGI-09,0.928457526,0.473458034,0.600164951,0.000595861,0.557227666,1.53573E-05,329.1384615,548.4133333,590.6714286
219571_s_at,zinc finger protein 325,ZNF325,1.095141122,0.396398713,0.600364029,0.000448698,0.657483336,2.6726E-05,227.8461538,379.5133333,346.5428571
201931_at,"electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II)",ETFA,0.979038758,0.889562023,0.600573674,0.007584782,0.587984904,0.000633831,137.2230769,228.4866667,233.3785714
228763_at,hypothetical protein MGC5987,MGC5987,0.999085357,0.993929887,0.60107606,0.001814882,0.60052629,0.001850724,95.04615385,158.1266667,158.2714286
201623_s_at,aspartyl-tRNA synthetase,DARS,1.287918252,0.023956204,0.601149097,0.000133474,0.774230894,0.004607896,578.3615385,962.0933333,747.0142857
225221_at,zinc finger protein 36 (KOX 18),ZNF36,0.911838226,0.434062017,0.601464828,0.001072923,0.548438622,0.000116113,644.8384615,1072.113333,1175.771429
228583_at,chromosome 14 open reading frame 46,C14orf46,1.083378882,0.585970349,0.602419804,0.002347603,0.652648894,0.005005522,349.6846154,580.4666667,535.7928571
208433_s_at,"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor",LRP8,0.662511182,0.00900211,0.605134424,0.008224777,0.400908323,8.06046E-06,113.1076923,186.9133333,282.1285714
233587_s_at,KIAA1389 protein,KIAA1389,1.036146285,0.749816178,0.605530706,0.000481465,0.627418392,0.000314716,151.8307692,250.74,241.9928571
227601_at,KIAA1627 protein,KIAA1627,0.975359449,0.84242544,0.606368113,0.005236093,0.591426868,0.000352563,196.2692308,323.68,331.8571429
210251_s_at,rap2 interacting protein x,RIPX,0.899702257,0.418353419,0.607132999,0.005036658,0.54623893,6.65056E-06,205.3,338.1466667,375.8428571
201606_s_at,nuclear phosphoprotein similar to S. cerevisiae PWP1,PWP1,0.861666469,0.15295412,0.608837475,0.001828088,0.524614837,1.02655E-05,884.8153846,1453.286667,1686.6
213845_at,---,---,0.909134814,0.43937214,0.609124667,0.000304045,0.553776441,0.000292889,539.4692308,885.6466667,974.1642857
220175_s_at,---,---,0.814732803,0.09712501,0.609823264,0.002487126,0.496843017,2.84725E-05,337.8461538,554.0066667,679.9857143
201894_s_at,decorin,DCN,1.053701567,0.743226271,0.609884319,0.007902308,0.642636063,0.00794054,127.3153846,208.7533333,198.1142857
